t,msd
555.2,-57.35942680192744
555.3000000000001,-57.3704414358804
555.4,-57.37521309447998
555.5,-57.369304625059264
555.6,-57.35449594017879
555.7,-57.35494951084088
555.8000000000001,-57.38096817897012
555.9,-57.41648979498909
556.0,-57.44102028834838
556.1,-57.45019548432596
556.2,-57.4483961797661
556.3000000000001,-57.42128855714155
556.4,-57.36887804049969
556.5,-57.313317434197
556.6,-57.273346332798994
556.7,-57.245261467984335
556.8000000000001,-57.22610311550509
556.9,-57.21761017980383
557.0,-57.218184473366755
557.1,-57.2266758488726
557.2,-57.24843268483528
557.3000000000001,-57.28896820242876
557.4,-57.332169842879765
557.5,-57.34718405921749
557.6,-57.3259027769758
557.7,-57.287433131637144
557.8000000000001,-57.25100256419687
557.9,-57.217512780327006
558.0,-57.191496708235725
558.1,-57.18326658954746
558.2,-57.194849857290684
558.3000000000001,-57.20746881177288
558.4,-57.20611882165787
558.5,-57.19459125648771
558.6,-57.19274861057803
558.7,-57.219886136928096
558.8000000000001,-57.27163744198888
558.9,-57.3234411239171
559.0,-57.352832732462325
559.1,-57.35660450871105
559.2,-57.35458472524528
559.3000000000001,-57.351221421813236
559.4,-57.34061425497904
559.5,-57.32100758667006
559.6,-57.31660130680765
559.7,-57.33326837041017
559.8000000000001,-57.356909759127305
559.9,-57.368376923907725
560.0,-57.388078670588264
560.1,-57.43673523938281
560.2,-57.49586461412162
560.3000000000001,-57.539175389846974
560.4,-57.55212776775415
560.5,-57.52942433828424
560.6,-57.472839781243444
560.7,-57.403577766025535
560.8000000000001,-57.33209825910708
560.9,-57.27936558450032
561.0,-57.24441398803588
561.1,-57.22451246996109
561.2,-57.218946511114204
561.3000000000001,-57.224306893508285
561.4,-57.23388780047874
561.5,-57.241286067390114
561.6,-57.26154262926491
561.7,-57.29071260911424
561.8000000000001,-57.3385825232661
561.9,-57.38060002062396
562.0,-57.41537973471697
562.1,-57.446547424289555
562.2,-57.46049465258119
562.3000000000001,-57.43871106999293
562.4,-57.38960758002171
562.5,-57.33997039606099
562.6,-57.308376968978
562.7,-57.29436859866954
562.8000000000001,-57.290797737736405
562.9,-57.29767937839541
563.0,-57.303789360743686
563.1,-57.31094870137093
563.2,-57.32966459816876
563.3000000000001,-57.36202340331931
563.4,-57.395162901354944
563.5,-57.41896192039568
563.6,-57.433067490397754
563.7,-57.445586786809685
563.8000000000001,-57.4618999646998
563.9,-57.4757969190281
564.0,-57.48854493179984
564.1,-57.50957238812932
564.2,-57.54952858980877
564.3000000000001,-57.60486695761045
564.4,-57.66174530583775
564.5,-57.71037245789124
564.6,-57.737328850354416
564.7,-57.737667633806915
564.8000000000001,-57.70258549939804
564.9,-57.64964119927698
565.0,-57.61447875181524
565.1,-57.6059185294168
565.2,-57.6218441813546
565.3000000000001,-57.65672676407714
565.4,-57.7072421679751
565.5,-57.77487205770538
565.6,-57.8502159137645
565.7,-57.91272610484933
